,year,month,day,hour,temperature,total precipitation,u-component of wind,v-component of wind,radiation flux,pressure,relative humidity,PVout,price,imbalance,yearSin,yearCos,monthSin,monthCos,hourSin,hourCos
1,2022,4,1,0.5,6.45,1.75,2.616295091,2.616295091,0,1015.35,96.5,0,12.12,36.55,0.999776154,0.02115755,0.866025404,-0.5,0.130526192,0.991444861
2,2022,4,1,1,6.2,2,2.545584412,2.545584412,0,1015.1,97,0,14.47,25.01,0.999783677,0.020798999,0.866025404,-0.5,0.258819045,0.965925826
3,2022,4,1,1.5,5.8,1.75,2.757716447,2.757716447,0,1015.1,96,0,24.32,25.12,0.999791072,0.020440446,0.866025404,-0.5,0.382683432,0.923879533
4,2022,4,1,2,5.4,1.5,2.969848481,2.969848481,0,1015.1,95,0,16.55,24.26,0.999798338,0.020081891,0.866025404,-0.5,0.5,0.866025404
5,2022,4,1,2.5,5.05,1.75,2.687005768,2.687005768,0,1015.4,94.5,0,24.32,24.18,0.999805476,0.019723332,0.866025404,-0.5,0.608761429,0.79335334
6,2022,4,1,3,4.7,2,2.404163056,2.404163056,0,1015.7,94,0,14.77,25.12,0.999812485,0.019364772,0.866025404,-0.5,0.707106781,0.707106781
7,2022,4,1,3.5,4.65,1.5,2.156675683,2.156675683,0,1016.15,95,0,14.89,29.26,0.999819366,0.019006208,0.866025404,-0.5,0.79335334,0.608761429
8,2022,4,1,4,4.6,1,1.909188309,1.909188309,0,1016.6,96,0,15,30.37,0.999826118,0.018647643,0.866025404,-0.5,0.866025404,0.5
9,2022,4,1,4.5,4.3,1.5,1.337277587,1.878473687,0,1017,95.5,0,14.89,27.8,0.999832741,0.018289074,0.866025404,-0.5,0.923879533,0.382683432
10,2022,4,1,5,4,2,0.765366865,1.847759065,0,1017.4,95,0,19.8,25.01,0.999839236,0.017930504,0.866025404,-0.5,0.965925826,0.258819045
11,2022,4,1,5.5,3.7,2,0.70796435,1.709177135,0,1017.9,96,0,24.32,24.45,0.999845602,0.017571931,0.866025404,-0.5,0.991444861,0.130526192
12,2022,4,1,6,3.4,2,0.650561835,1.570595205,0,1018.4,97,0,24.32,24.3,0.999851839,0.017213356,0.866025404,-0.5,1,6.12574E-17
13,2022,4,1,6.5,3.3,2,0.440085947,1.062461463,6.944444445,1018.75,96.5,0.014551996,24.77,24.74,0.999857948,0.016854779,0.866025404,-0.5,0.991444861,-0.130526192
14,2022,4,1,7,3.2,2,0.229610059,0.55432772,13.88888889,1019.1,96,0.02812094,24.77,25.38,0.999863928,0.016496199,0.866025404,-0.5,0.965925826,-0.258819045
15,2022,4,1,7.5,3.5,1,0.382683432,-0.369551813,30.55555556,1019.3,96.5,0.053876914,24.77,21.85,0.99986978,0.016137618,0.866025404,-0.5,0.923879533,-0.382683432
16,2022,4,1,8,3.8,0,0.535756805,-1.293431346,47.22222222,1019.5,97,0.100289449,26.42,35.74,0.999875503,0.015779034,0.866025404,-0.5,0.866025404,-0.5
17,2022,4,1,8.5,4.3,0,0.267878403,-0.346715673,69.44444445,1019.6,97,0.141286156,26.92,37.31,0.999881098,0.015420449,0.866025404,-0.5,0.79335334,-0.608761429
18,2022,4,1,9,4.8,0,3.68E-17,0.6,91.66666667,1019.7,97,0.194193531,35,36.89,0.999886564,0.015061861,0.866025404,-0.5,0.707106781,-0.707106781
19,2022,4,1,9.5,5.3,0,0.601040764,0.901040764,138.8888889,1019.8,89.5,0.287828732,36.28,37.05,0.999891901,0.014703271,0.866025404,-0.5,0.608761429,-0.79335334
20,2022,4,1,10,5.8,0,1.202081528,1.202081528,186.1111111,1019.9,82,0.376890584,26.03,37.45,0.99989711,0.01434468,0.866025404,-0.5,0.5,-0.866025404
21,2022,4,1,10.5,6.35,0,1.060660172,1.060660172,236.1111111,1019.9,76.5,0.467861529,36.13,37.69,0.99990219,0.013986087,0.866025404,-0.5,0.382683432,-0.923879533
22,2022,4,1,11,6.9,0,0.919238816,0.919238816,286.1111111,1019.9,71,0.609244619,36.13,36.93,0.999907141,0.013627492,0.866025404,-0.5,0.258819045,-0.965925826
23,2022,4,1,11.5,7.5,0,1.198723034,0.765766154,380.5555556,1019.65,66.5,0.730581095,35.96,35.85,0.999911964,0.013268895,0.866025404,-0.5,0.130526192,-0.991444861
24,2022,4,1,12,8.1,0,1.478207252,0.612293492,475,1019.4,62,0.948818433,27.59,30.14,0.999916659,0.012910296,0.866025404,-0.5,1.22515E-16,-1
25,2022,4,1,12.5,8.75,0,1.389103626,0.306146746,606.9444445,1018.95,58.5,1.2498856,23.95,23.57,0.999921224,0.012551696,0.866025404,-0.5,-0.130526192,-0.991444861
26,2022,4,1,13,9.4,0,1.3,0,738.8888889,1018.5,55,1.547126889,23.95,23.72,0.999925661,0.012193094,0.866025404,-0.5,-0.258819045,-0.965925826
27,2022,4,1,13.5,9.05,0,1.42781746,0.77781746,656.9444445,1018.3,55.5,1.13538505,26.03,23.52,0.99992997,0.011834491,0.866025404,-0.5,-0.382683432,-0.923879533
28,2022,4,1,14,8.7,0,1.555634919,1.555634919,575,1018.1,56,1.157741303,18.27,23.76,0.99993415,0.011475886,0.866025404,-0.5,-0.5,-0.866025404
29,2022,4,1,14.5,9.25,0,0.77781746,2.62781746,393.0555556,1018.1,46,0.853650469,17.1,24.03,0.999938201,0.011117279,0.866025404,-0.5,-0.608761429,-0.79335334
30,2022,4,1,15,9.8,0,2.27E-16,3.7,211.1111111,1018.1,36,0.430670869,24.32,24.38,0.999942124,0.010758671,0.866025404,-0.5,-0.707106781,-0.707106781
31,2022,4,1,15.5,9.65,0,-0.388908729,2.23890873,212.5,1018.3,43.5,0.420304033,24.32,25.94,0.999945918,0.010400062,0.866025404,-0.5,-0.79335334,-0.608761429
32,2022,4,1,16,9.5,0,-0.777817459,0.777817459,213.8888889,1018.5,51,0.428748885,24.32,24.24,0.999949583,0.010041452,0.866025404,-0.5,-0.866025404,-0.5
33,2022,4,1,16.5,9.65,0,-0.886397192,1.589952122,231.9444445,1018.75,42,0.476666241,24.77,24.05,0.99995312,0.00968284,0.866025404,-0.5,-0.923879533,-0.382683432
34,2022,4,1,17,9.8,0,-0.994976924,2.402086785,250,1019,33,0.497257758,24.77,6.88,0.999956528,0.009324227,0.866025404,-0.5,-0.965925826,-0.258819045
35,2022,4,1,17.5,9.25,0,-0.497488462,2.601043393,141.6666667,1019.4,34.5,0.293130069,24.77,24.5,0.999959808,0.008965612,0.866025404,-0.5,-0.991444861,-0.130526192
